company,job title,Remote?,location,state,company_size,company_type,company_sector,company_industry,company_founded,company_revenue,hourly,rating,python_yn,spark_yn,azure_yn,aws_yn,excel_yn,machine_learning_yn,job_simpl,seniority,description_len,company_age
Radiant,Data scientist/Image Analytics,Yes,Remote,,Small,Private,Information Technology,Enterprise Software & Network Solutions,2000,Unknown / Non-Applicable,1,3.7,0,0,0,0,0,0,data scientist,mid,91,22
Core Alliance Group Inc,Data Scientist ! Remote_ Looking for W2 Consultants,Yes,Remote,,,,,,,,1,,0,1,0,0,0,0,data scientist,Senior,122,
Occam Solutions,Data Scientist,No,Tampa, FL,Small,Private,Management & Consulting,Business Consulting,,$5 to $25 million (USD),0,3.9,1,0,0,0,0,0,data scientist,Senior,211,
Sceye,Data Scientist/Meteorologist,No,Moriarty, NM,,,,,,,0,,1,0,0,1,0,0,data scientist,mid,377,
Expert Technical Solutions,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,5,1,0,1,1,0,1,data scientist,mid,287,
FriendFinder Networks,Remote Data Scientist,Yes,Remote,,Small,Private,Information Technology,Internet & Web Services,1996,$25 to $100 million (USD),0,2.8,1,0,0,0,1,1,data scientist,Senior,593,26
Attunely,Sr. Data Scientist,Yes,Remote,,,,,,,,0,,1,1,0,0,1,1,data scientist,Senior,556,
eBay Inc.,Data Scientist/Applied Researcher,No,San Francisco, CA,Large,Public,Information Technology,Internet & Web Services,1995,$10+ billion (USD),0,4.1,0,0,0,0,0,1,data scientist,mid,440,27
Faire,Data Scientist - Search & Recommendation,No,San Francisco, CA,Small,Private,Retail & Wholesale,Wholesale,2017,Unknown / Non-Applicable,0,4.8,0,0,0,0,0,1,data scientist,Senior,740,5
Braintrust,Data Engineer,Yes,Remote,,Unknown,Private,Management & Consulting,Business Consulting,2018,$5 to $25 million (USD),1,4.6,1,0,1,0,0,0,data engineer,Senior,284,4
Vision,Director of Data Scientist,Yes,Remote,,Small,Private,Media & Communication,Advertising & Public Relations,,Unknown / Non-Applicable,0,3.8,1,0,1,1,1,1,data scientist,Senior,437,
LeanTaaS,"Data Scientist (full-time, one position)",No,Santa Clara, CA,Small,Private,Information Technology,Software Development,2010,$25 to $100 million (USD),0,3.9,1,0,0,1,0,1,data scientist,mid,360,12
Boston Scientific Corporation,Principal Data Scientist,No,Arden Hills, MN,Large,Public,Manufacturing,Health Care Products Manufacturing,1979,$10+ billion (USD),0,4.2,1,0,1,0,0,0,data scientist,Senior,560,43
Longevity InTime,Computer Vision ML Engineer Data Scientist,Yes,Remote,,Small,Public,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,0,3.9,1,0,0,0,0,0,data scientist,Senior,493,
Improvix Technologies,Data Scientist (Remote),No,Reston, VA,Small,Public,Information Technology,Information Technology Support Services,2012,Unknown / Non-Applicable,0,4.6,1,1,0,1,0,0,data scientist,mid,127,10
Logistics Management Institute,Junior Data Scientist,No,Camp Lejeune, NC,Medium,Private,Management & Consulting,Business Consulting,1961,$100 to $500 million (USD),0,4.2,1,0,0,0,0,1,data scientist,junior,366,61
Beck's Hybrids,Data Scientist & Statistician,No,Atlanta, IN,Small,Private,Agriculture,Farm Support,1937,$25 to $100 million (USD),0,4.7,1,0,0,0,0,1,data scientist,mid,173,85
Amex,Data Scientist - Global Decision Science,No,New York, NY,Large,Public,Financial Services,Financial Transaction Processing,1850,$10+ billion (USD),0,4.3,1,0,0,0,1,1,data scientist,Senior,608,172
Sysco,Data Scientist,No,Houston, TX,Large,Public,Retail & Wholesale,Wholesale,1969,$10+ billion (USD),0,3.2,1,0,0,0,0,0,data scientist,Senior,552,53
Hireups,Data Scientist,Yes,Remote,,Small,Public,,,,Unknown / Non-Applicable,1,,1,0,0,0,1,1,data scientist,mid,355,
Aptara,Data Scientist,No,Pomona, CA,Medium,Subsidiary or Business Segment,Financial Services,Accounting & Tax,1988,$100 to $500 million (USD),1,3.4,1,0,0,0,0,0,data scientist,mid,110,34
Expert Technical Solutions,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,5,1,0,1,1,0,1,data scientist,mid,287,
Amex,Data Scientist - Global Decision Science,No,New York, NY,Large,Public,Financial Services,Financial Transaction Processing,1850,$10+ billion (USD),0,4.3,1,0,0,0,1,1,data scientist,Senior,610,172
JPL/NASA,Data Scientist IV,No,Pasadena, CA,Medium,Nonprofit Organization,Government & Public Administration,National Agencies,1936,Unknown / Non-Applicable,0,4.5,1,0,0,0,1,1,data scientist,Senior,593,86
Plymouth Rock Assurance,Data Scientist,No,Woodbridge, NJ,Medium,Private,Insurance,Insurance Carriers,1982,$5 to $25 million (USD),0,3.2,0,0,0,0,1,0,data scientist,Senior,373,40
Devcare Solutions,Data Scientist (healthcare domain),Yes,Remote,,Small,Private,Information Technology,Information Technology Support Services,2005,Unknown / Non-Applicable,1,3.6,0,0,0,0,0,0,data scientist,Senior,190,17
ABC Legal Services,Data Scientist,No,Seattle, WA,Small,Private,Legal,Legal,1974,$25 to $100 million (USD),0,2.8,1,0,0,1,0,1,data scientist,Senior,299,48
Lyra Health,Data Scientist (Remote,No,Burlingame, CA,Small,Private,Healthcare,Health Care Services & Hospitals,2015,$100 to $500 million (USD),0,4.5,1,0,0,0,0,0,data scientist,Senior,504,7
Sepion Technologies,Staff Scientist - Data Science,No,Emeryville, CA,Small,Private,"Energy, Mining & Utilities",Energy & Utilities,2015,Unknown / Non-Applicable,0,5,1,0,0,1,1,1,data scientist,Senior,598,7
KeyBank,Climate Risk Data Scientist,Yes,Remote,,Large,Public,Financial Services,Banking & Lending,1849,$5 to $10 billion (USD),0,3.8,1,0,1,1,1,1,data scientist,Senior,589,173
S3vision Inc,Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,1,,1,0,0,0,0,0,data scientist,mid,109,
Corteva Agriscience,Senior Data Scientist,No,Indianapolis, IN,Large,Public,Agriculture,Farm Support,2019,Unknown / Non-Applicable,0,4,0,0,0,0,1,1,data scientist,Senior,434,3
BD,Data Scientist (Remote),No,Franklin Lakes, NJ,Large,Public,Manufacturing,Health Care Products Manufacturing,1897,$10+ billion (USD),0,3.9,1,1,1,1,1,1,data scientist,Senior,629,125
Veho,Staff Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,3.3,1,1,0,0,0,1,data scientist,Senior,688,
Swyfft,Senior Data Scientist (US Remote),No,New York, NY,Unknown,Private,,,,Unknown / Non-Applicable,0,4.1,1,0,0,0,0,1,data scientist,Senior,527,
Virginia Tech Applied Research Corporation,Junior Data Scientist,No,Chantilly, VA,Small,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,2012,$5 to $25 million (USD),0,3.4,1,0,0,0,0,0,data scientist,junior,467,10
Ibotta,Senior Data Scientist,No,Denver, CO,Small,Private,Information Technology,Internet & Web Services,2012,Unknown / Non-Applicable,0,3.8,1,1,0,0,0,1,data scientist,Senior,549,10
PacArctic LLC,Data Scientist- Junior,No,Washington, DC,Unknown,Public,,,,Unknown / Non-Applicable,0,4.5,1,0,0,0,0,0,data scientist,junior,574,
Amiti consulting corp,Data Analyst/Data Scientist,No,Mountain View, CA,,,,,,,0,,1,0,0,0,1,1,data analyst,Senior,217,
Dworo.io,Data Scientist,No,Los Angeles, CA,Unknown,Public,,,,Unknown / Non-Applicable,0,,1,0,0,0,1,0,data scientist,mid,206,
3M,RR - Data Scientist,No,Maplewood, MN,Large,Public,Manufacturing,Consumer Product Manufacturing,1902,$10+ billion (USD),0,3.8,0,0,1,1,1,1,data scientist,Senior,825,120
Altak Group,Lead Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,1,2,1,0,0,0,1,1,data scientist,Senior,194,
Artificial Intelligence Labs at the American Alliance for International Education,"Data Scientist / Engineer for Digital Health (Remote, Part-time)",Yes,Remote,,,,,,,,1,,1,1,0,1,0,1,data scientist,Senior,239,
Microsoft,Data & Applied Scientist,No,Redmond, WA,Large,Public,Information Technology,Computer Hardware Development,1975,$10+ billion (USD),0,4.4,1,0,0,1,0,1,data scientist,junior,359,47
UT Southwestern Medical Center,Data Scientist or Bioinformatician (remote),Yes,Remote,,Large,Hospital,Healthcare,Health Care Services & Hospitals,1943,$1 to $5 billion (USD),0,4,1,0,0,0,0,1,data scientist,mid,267,79
Net2Aspire,Jr. Data Scientist,Yes,Remote,,Unknown,Public,,,,Unknown / Non-Applicable,0,,0,0,0,0,0,1,data scientist,junior,132,
Ntropy Network,Data Scientist,Yes,Remote,,Small,Private,,,,Unknown / Non-Applicable,0,,1,0,0,1,0,0,data scientist,mid,522,
Notion,"Data Scientist, Growth",No,New York, NY,Small,Private,Information Technology,Enterprise Software & Network Solutions,2016,Unknown / Non-Applicable,0,4.9,1,0,0,0,0,0,data scientist,Senior,589,6
PayPal,Data Scientist,No,Chicago, IL,Large,Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD),0,4,1,0,0,0,0,1,data scientist,Senior,618,24
